mutation_id,title,rc,mutation_target,mutation_operator,operator_work_units,operator_success_oracle,discrepancy_type,preconditions,chain_role,impact_primary,impact_secondary,primary_controls,evidence_refs,detection_signals,test_recipe,confidence,status
RC2.URL.CANONICALIZATION_BYPASS.ATO.001,url_confusion -> jwt via parser,RC2,URL,CANONICALIZATION_BYPASS,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through parser differential from url_confusion to jwt,PARSER_DIFFERENTIAL,MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED,ENTRY,ATO,,SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: url_confusion->jwt,Replay edge pattern 'parser' from source 'url_confusion' to destination 'jwt',MEDIUM,DRAFT
RC2.URL.CANONICALIZATION_BYPASS.SSRF_INTERNAL_ACCESS.001,url_confusion -> ssrf via parser,RC2,URL,CANONICALIZATION_BYPASS,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through parser differential from url_confusion to ssrf,PARSER_DIFFERENTIAL,MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED,SINK,SSRF_INTERNAL_ACCESS,,SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: url_confusion->ssrf,Replay edge pattern 'parser' from source 'url_confusion' to destination 'ssrf',MEDIUM,DRAFT
RC2.URL.ENCODING_SHIFT.DATA_EXFILTRATION.001,url_confusion -> cors via encoding,RC2,URL,ENCODING_SHIFT,GENERATE|TRANSFORM|INJECT|OBSERVE,Operator effect observed through encoding differential from url_confusion to cors,CANONICALIZATION_GAP,WEAK_OR_MISSING_NORMALIZATION,ENTRY,DATA_EXFILTRATION,,STRICT_CANONICALIZATION_AT_ENTRY,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: url_confusion->cors,Replay edge pattern 'encoding' from source 'url_confusion' to destination 'cors',MEDIUM,DRAFT
RC2.PAYLOAD_BODY.ENCODING_SHIFT.ATO.001,unicode -> saml via encoding,RC2,PAYLOAD_BODY,ENCODING_SHIFT,GENERATE|TRANSFORM|INJECT|OBSERVE,Operator effect observed through encoding differential from unicode to saml,CANONICALIZATION_GAP,WEAK_OR_MISSING_NORMALIZATION,ENTRY,ATO,,STRICT_CANONICALIZATION_AT_ENTRY,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: unicode->saml,Replay edge pattern 'encoding' from source 'unicode' to destination 'saml',MEDIUM,DRAFT
RC2.PAYLOAD_BODY.ENCODING_SHIFT.DATA_EXFILTRATION.001,unicode -> cors via encoding,RC2,PAYLOAD_BODY,ENCODING_SHIFT,GENERATE|TRANSFORM|INJECT|OBSERVE,Operator effect observed through encoding differential from unicode to cors,CANONICALIZATION_GAP,WEAK_OR_MISSING_NORMALIZATION,ENTRY,DATA_EXFILTRATION,,STRICT_CANONICALIZATION_AT_ENTRY,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: unicode->cors,Replay edge pattern 'encoding' from source 'unicode' to destination 'cors',MEDIUM,DRAFT
RC2.PAYLOAD_BODY.ENCODING_SHIFT.RCE.001,unicode -> cmd_injection via encoding,RC2,PAYLOAD_BODY,ENCODING_SHIFT,GENERATE|TRANSFORM|INJECT|OBSERVE,Operator effect observed through encoding differential from unicode to cmd_injection,CANONICALIZATION_GAP,WEAK_OR_MISSING_NORMALIZATION,SINK,RCE,,STRICT_CANONICALIZATION_AT_ENTRY,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: unicode->cmd_injection,Replay edge pattern 'encoding' from source 'unicode' to destination 'cmd_injection',MEDIUM,DRAFT
RC2.PAYLOAD_BODY.ENCODING_SHIFT.SSRF_INTERNAL_ACCESS.001,unicode -> ssrf via encoding,RC2,PAYLOAD_BODY,ENCODING_SHIFT,GENERATE|TRANSFORM|INJECT|OBSERVE,Operator effect observed through encoding differential from unicode to ssrf,CANONICALIZATION_GAP,WEAK_OR_MISSING_NORMALIZATION,SINK,SSRF_INTERNAL_ACCESS,,STRICT_CANONICALIZATION_AT_ENTRY,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: unicode->ssrf,Replay edge pattern 'encoding' from source 'unicode' to destination 'ssrf',MEDIUM,DRAFT
RC2.PAYLOAD_BODY.ENCODING_SHIFT.RECON_ENABLEMENT.001,unicode -> waf_bypass via encoding,RC2,PAYLOAD_BODY,ENCODING_SHIFT,GENERATE|TRANSFORM|INJECT|OBSERVE,Operator effect observed through encoding differential from unicode to waf_bypass,CANONICALIZATION_GAP,WEAK_OR_MISSING_NORMALIZATION,ENTRY,RECON_ENABLEMENT,,STRICT_CANONICALIZATION_AT_ENTRY,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: unicode->waf_bypass,Replay edge pattern 'encoding' from source 'unicode' to destination 'waf_bypass',MEDIUM,DRAFT
RC2.PARAMETER.CANONICALIZATION_BYPASS.ATO.001,type_confusion -> jwt via parser,RC2,PARAMETER,CANONICALIZATION_BYPASS,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through parser differential from type_confusion to jwt,PARSER_DIFFERENTIAL,MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED,ENTRY,ATO,,SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: type_confusion->jwt,Replay edge pattern 'parser' from source 'type_confusion' to destination 'jwt',MEDIUM,DRAFT
RC2.PARAMETER.CANONICALIZATION_BYPASS.DATA_EXFILTRATION.001,type_confusion -> xxe via parser,RC2,PARAMETER,CANONICALIZATION_BYPASS,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through parser differential from type_confusion to xxe,PARSER_DIFFERENTIAL,MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED,ENTRY,DATA_EXFILTRATION,,SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: type_confusion->xxe,Replay edge pattern 'parser' from source 'type_confusion' to destination 'xxe',MEDIUM,DRAFT
RC2.SERIALIZED_OBJECT.CANONICALIZATION_BYPASS.DATA_EXFILTRATION.001,zip_archive -> xxe via parser,RC2,SERIALIZED_OBJECT,CANONICALIZATION_BYPASS,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through parser differential from zip_archive to xxe,PARSER_DIFFERENTIAL,MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED,ENTRY,DATA_EXFILTRATION,,SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: zip_archive->xxe,Replay edge pattern 'parser' from source 'zip_archive' to destination 'xxe',MEDIUM,DRAFT
RC2.SERIALIZED_OBJECT.CANONICALIZATION_BYPASS.RCE.001,zip_archive -> file_upload via parser,RC2,SERIALIZED_OBJECT,CANONICALIZATION_BYPASS,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through parser differential from zip_archive to file_upload,PARSER_DIFFERENTIAL,MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED,ENTRY,RCE,,SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: zip_archive->file_upload,Replay edge pattern 'parser' from source 'zip_archive' to destination 'file_upload',MEDIUM,DRAFT
RC1.PAYLOAD_BODY.CONTEXT_SWITCH.PRIVILEGE_ESCALATION.001,xss -> csrf via escalation,RC1,PAYLOAD_BODY,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from xss to csrf,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,PRIVILEGE_ESCALATION,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: xss->csrf,Replay edge pattern 'escalation' from source 'xss' to destination 'csrf',MEDIUM,DRAFT
RC1.PAYLOAD_BODY.CONTEXT_SWITCH.ATO.001,xss -> oauth via escalation,RC1,PAYLOAD_BODY,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from xss to oauth,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: xss->oauth,Replay edge pattern 'escalation' from source 'xss' to destination 'oauth',MEDIUM,DRAFT
RC1.PAYLOAD_BODY.CONTEXT_SWITCH.ATO.003,xss -> account_takeover via escalation,RC1,PAYLOAD_BODY,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from xss to account_takeover,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: xss->account_takeover,Replay edge pattern 'escalation' from source 'xss' to destination 'account_takeover',MEDIUM,DRAFT
RC1.PAYLOAD_BODY.CONTEXT_SWITCH.SESSION_HIJACK.001,xss -> cookie via escalation,RC1,PAYLOAD_BODY,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from xss to cookie,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,SESSION_HIJACK,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: xss->cookie,Replay edge pattern 'escalation' from source 'xss' to destination 'cookie',MEDIUM,DRAFT
RC1.PAYLOAD_BODY.HEADER_POLLUTION.DATA_EXFILTRATION.001,xss -> cache_poisoning via cache,RC1,PAYLOAD_BODY,HEADER_POLLUTION,GENERATE|INJECT|REORDER|OBSERVE,Operator effect observed through cache differential from xss to cache_poisoning,CANONICALIZATION_GAP,MULTI_PARSER_PIPELINE,PIVOT,DATA_EXFILTRATION,,STRICT_CANONICALIZATION_AT_ENTRY|REJECT_AMBIGUOUS_INPUT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: xss->cache_poisoning,Replay edge pattern 'cache' from source 'xss' to destination 'cache_poisoning',MEDIUM,DRAFT
RC1.PAYLOAD_BODY.ENCODING_SHIFT.RECON_ENABLEMENT.001,xss -> waf_bypass via encoding,RC1,PAYLOAD_BODY,ENCODING_SHIFT,GENERATE|TRANSFORM|INJECT|OBSERVE,Operator effect observed through encoding differential from xss to waf_bypass,CANONICALIZATION_GAP,WEAK_OR_MISSING_NORMALIZATION,PIVOT,RECON_ENABLEMENT,,STRICT_CANONICALIZATION_AT_ENTRY,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: xss->waf_bypass,Replay edge pattern 'encoding' from source 'xss' to destination 'waf_bypass',MEDIUM,DRAFT
